char1,char2,similarity,code1,code2
一,一,1.0,19968,19968
一,丶,0.9000199639433644,19968,20022
一,亠,0.8783494042813267,19968,20128
一,丨,0.8623753151429137,19968,20008
一,冫,0.8614386053142631,19968,20907
一,丷,0.8583371764900138,19968,20023
一,亻,0.8504072671126854,19968,20155
一,亅,0.8502961320556636,19968,20101
一,乛,0.8462809371359064,19968,20059
一,丿,0.8446800996808282,19968,20031
丁,丁,1.0,19969,19969
丁,丅,0.9123657348059596,19969,19973
丁,丨,0.8971029735936726,19969,20008
丁,了,0.884190450959508,19969,20102
丁,亅,0.8684618046398328,19969,20101
丁,亍,0.8651091824860396,19969,20109
丁,干,0.8639509153894677,19969,24178
丁,工,0.8567391129460824,19969,24037
丁,丄,0.8549084759633222,19969,19972
丁,于,0.854402675120933,19969,20110
丂,丂,1.0,19970,19970
丂,丶,0.8022259330885949,19970,20022
丂,不,0.8009404418104846,19970,19981
丂,于,0.8005412614160842,19970,20110
丂,丅,0.7985809434794982,19970,19973
丂,亐,0.7956210307762183,19970,20112
丂,乁,0.7891953713635816,19970,20033
丂,爫,0.786861202449735,19970,29227
丂,丐,0.7866981989941548,19970,19984
丂,乃,0.7824700960301508,19970,20035
七,七,1.0,19971,19971
七,丶,0.8097621447185895,19971,20022
七,上,0.80497377783021,19971,19978
七,亠,0.8007549091323355,19971,20128
七,卜,0.8004020543490047,19971,21340
七,一,0.7983849610269157,19971,19968
七,丨,0.7954999966817418,19971,20008
七,乚,0.7944481684478578,19971,20058
七,乇,0.7865546738825925,19971,20039
七,乀,0.77900895090143,19971,20032
丄,丄,1.0,19972,19972
丄,丨,0.91458258776312,19972,20008
丄,工,0.9058011252152228,19972,24037
丄,土,0.8933511908922441,19972,22303
丄,亅,0.8763220776531014,19972,20101
丄,士,0.8697173222482852,19972,22763
丄,丿,0.8666982223527995,19972,20031
丄,上,0.8648314898689786,19972,19978
丄,十,0.8584915783933522,19972,21313
丄,丅,0.8560672469196995,19972,19973
